epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,259.877,0.84564,1.43515,1.53917,0.94635,0,0.8332,0.22549,0.34696,0.21509,0.8332,0.22549,0.31036,0.1973,1.1724,1.91325,2.26025,1.14933,0,0.00038375,0.00038375,0.00038375
72,263.143,0.84143,2.57323,3.35574,0.92033,0,0.8332,0.22549,0.34696,0.21509,0.8332,0.22549,0.31036,0.1973,1.1724,1.91325,2.26025,1.14933,0,0.000371375,0.000371375,0.000371375
73,267.437,0.82187,1.4572,1.57446,0.94764,0,0.79406,0.21078,0.33008,0.2014,0.79406,0.21078,0.29874,0.18956,1.13325,1.85026,2.30534,1.14063,0,0.000359,0.000359,0.000359
74,271.095,0.84223,1.40997,1.48574,0.95345,0,0.79406,0.21078,0.33008,0.2014,0.79406,0.21078,0.29874,0.18956,1.13325,1.85026,2.30534,1.14063,0,0.000346625,0.000346625,0.000346625
75,274.351,0.77342,1.30618,1.41478,0.9167,0,0.77536,0.19608,0.32314,0.19644,0.77536,0.19608,0.2932,0.18516,1.15287,1.91409,2.35591,1.15931,0,0.00033425,0.00033425,0.00033425
76,277.388,0.8214,1.45303,1.61001,0.94035,0,0.94425,0.19555,0.32643,0.20001,0.94425,0.19555,0.3025,0.18949,1.15201,1.88874,2.38991,1.17711,0,0.000321875,0.000321875,0.000321875
77,281.759,0.73239,1.28277,1.38142,0.91699,0,0.94425,0.19555,0.32643,0.20001,0.94425,0.19555,0.3025,0.18949,1.15201,1.88874,2.38991,1.17711,0,0.0003095,0.0003095,0.0003095
78,285.363,0.7604,1.31137,1.32565,0.90462,0,0.71085,0.2549,0.32741,0.19882,0.71085,0.2549,0.30601,0.18953,1.1276,1.91982,2.38315,1.16833,0,0.000297125,0.000297125,0.000297125
79,288.463,0.80086,1.33769,1.45105,0.96263,0,0.92405,0.19608,0.33781,0.20884,0.92405,0.19608,0.31016,0.19416,1.16468,2.03529,2.34,1.16258,0,0.00028475,0.00028475,0.00028475
80,291.836,0.76445,1.33373,1.38981,0.9218,0,0.92405,0.19608,0.33781,0.20884,0.92405,0.19608,0.31016,0.19416,1.16468,2.03529,2.34,1.16258,0,0.000272375,0.000272375,0.000272375
81,296.336,0.69949,1.25068,1.38833,0.91351,0,0.88124,0.20981,0.35118,0.22166,0.88124,0.20981,0.3259,0.20945,1.14397,1.99059,2.35202,1.14778,0,0.00026,0.00026,0.00026
82,299.717,0.78202,1.32962,1.36177,0.91909,0,0.88124,0.20981,0.35118,0.22166,0.88124,0.20981,0.3259,0.20945,1.14397,1.99059,2.35202,1.14778,0,0.000247625,0.000247625,0.000247625
83,303.126,0.77499,1.38,1.32812,0.92875,0,0.48483,0.33431,0.37734,0.24222,0.48483,0.33431,0.34403,0.22482,1.11646,1.94247,2.33777,1.13531,0,0.00023525,0.00023525,0.00023525
84,306.187,0.78015,1.34433,1.32718,0.92471,0,0.47732,0.33431,0.37695,0.2356,0.47732,0.33431,0.34422,0.22735,1.0969,1.90286,2.3371,1.12436,0,0.000222875,0.000222875,0.000222875
85,310.304,0.80663,1.40793,1.37632,0.9299,0,0.47732,0.33431,0.37695,0.2356,0.47732,0.33431,0.34422,0.22735,1.0969,1.90286,2.3371,1.12436,0,0.0002105,0.0002105,0.0002105
86,314.687,0.69817,1.2528,1.28972,0.90402,0,0.9383,0.19608,0.3734,0.22632,0.9383,0.19608,0.341,0.22504,1.11823,1.80961,2.31728,1.12597,0,0.000198125,0.000198125,0.000198125
87,317.796,0.72623,1.23826,1.31821,0.92146,0,0.93866,0.19608,0.36592,0.22833,0.93866,0.19608,0.32557,0.20999,1.14561,1.7928,2.35863,1.13168,0,0.00018575,0.00018575,0.00018575
88,321.004,0.70373,1.24915,1.34039,0.91423,0,0.93866,0.19608,0.36592,0.22833,0.93866,0.19608,0.32557,0.20999,1.14561,1.7928,2.35863,1.13168,0,0.000173375,0.000173375,0.000173375
89,325.34,0.79504,1.30828,1.43171,0.95202,0,0.80406,0.2402,0.35684,0.21972,0.80406,0.2402,0.32244,0.20711,1.19564,1.83195,2.37093,1.14911,0,0.000161,0.000161,0.000161
90,329.01,0.74832,1.33781,1.27721,0.90784,0,0.80406,0.2402,0.35684,0.21972,0.80406,0.2402,0.32244,0.20711,1.19564,1.83195,2.37093,1.14911,0,0.000148625,0.000148625,0.000148625
91,335.266,0.75057,1.28599,1.67828,0.92104,0,0.82938,0.22549,0.35775,0.22085,0.82938,0.22549,0.32084,0.2083,1.22796,1.88444,2.36698,1.16301,0,0.00013625,0.00013625,0.00013625
92,340.753,0.68556,1.2625,1.51179,0.8861,0,0.78293,0.2402,0.35693,0.21932,0.78293,0.2402,0.3194,0.2121,1.27364,1.96747,2.34509,1.19239,0,0.000123875,0.000123875,0.000123875
93,344.132,0.73373,1.27796,1.58489,0.92569,0,0.78293,0.2402,0.35693,0.21932,0.78293,0.2402,0.3194,0.2121,1.27364,1.96747,2.34509,1.19239,0,0.0001115,0.0001115,0.0001115
94,347.262,0.78029,1.42057,1.73873,0.94676,0,0.77379,0.2549,0.35048,0.21627,0.77379,0.2549,0.31538,0.20888,1.30022,2.07142,2.34518,1.22058,0,9.9125e-05,9.9125e-05,9.9125e-05
95,350.228,0.75151,1.3244,1.57943,0.95903,0,0.78704,0.2402,0.35191,0.21976,0.78704,0.2402,0.3181,0.21241,1.292,2.09347,2.3307,1.21855,0,8.675e-05,8.675e-05,8.675e-05
96,354.595,0.71619,1.29472,1.58,0.90422,0,0.78704,0.2402,0.35191,0.21976,0.78704,0.2402,0.3181,0.21241,1.292,2.09347,2.3307,1.21855,0,7.4375e-05,7.4375e-05,7.4375e-05
97,358.001,0.73762,1.2582,1.49169,0.9195,0,0.78493,0.2402,0.34975,0.2177,0.78493,0.2402,0.32011,0.21254,1.26638,2.07537,2.33466,1.21566,0,6.2e-05,6.2e-05,6.2e-05
98,360.94,0.70928,1.20599,1.46262,0.90226,0,0.78493,0.2402,0.34975,0.2177,0.78493,0.2402,0.32011,0.21254,1.26638,2.07537,2.33466,1.21566,0,4.9625e-05,4.9625e-05,4.9625e-05
99,363.89,0.83537,1.37439,1.8172,0.96192,0,0.77715,0.2402,0.34408,0.2143,0.77715,0.2402,0.31781,0.20935,1.27434,2.12508,2.29674,1.21928,0,3.725e-05,3.725e-05,3.725e-05
100,367.887,0.73478,1.3343,1.824,0.94354,0,0.76931,0.2402,0.34456,0.21213,0.76931,0.2402,0.31778,0.20977,1.29356,2.15383,2.29191,1.22716,0,2.4875e-05,2.4875e-05,2.4875e-05
