epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,180.262,0.86223,1.30044,1.20132,0.93075,0,0.47359,0.14216,0.21167,0.09607,0.47359,0.14216,0.20313,0.09196,1.40266,2.91724,2.80069,1.19609,0,0.00018575,0.00018575,0.00018575
88,182.781,0.86654,1.37484,1.11938,0.89918,0,0.72415,0.14216,0.22028,0.11026,0.72415,0.14216,0.21094,0.09739,1.40256,2.89352,2.72907,1.19438,0,0.000173375,0.000173375,0.000173375
89,184.856,0.86066,1.46795,1.1884,0.91458,0,0.72415,0.14216,0.22028,0.11026,0.72415,0.14216,0.21094,0.09739,1.40256,2.89352,2.72907,1.19438,0,0.000161,0.000161,0.000161
90,187.606,0.77522,1.24863,1.01695,0.88575,0,0.83173,0.12745,0.21814,0.10781,0.83173,0.12745,0.21153,0.09819,1.39512,2.83688,2.69897,1.18153,0,0.000148625,0.000148625,0.000148625
91,193.557,0.89321,1.43646,1.35866,0.92183,0,0.83362,0.12745,0.22239,0.11085,0.83362,0.12745,0.21484,0.09962,1.38725,2.72761,2.65564,1.17083,0,0.00013625,0.00013625,0.00013625
92,195.956,0.80889,1.35206,1.35871,0.91601,0,0.84028,0.14216,0.23096,0.11807,0.84028,0.14216,0.22343,0.10594,1.39313,2.7096,2.67457,1.17404,0,0.000123875,0.000123875,0.000123875
93,198.207,0.8558,1.42815,1.24896,0.92612,0,0.84028,0.14216,0.23096,0.11807,0.84028,0.14216,0.22343,0.10594,1.39313,2.7096,2.67457,1.17404,0,0.0001115,0.0001115,0.0001115
94,200.876,0.74776,1.37241,1.14071,0.87906,0,0.83957,0.14216,0.24145,0.12913,0.83957,0.14216,0.23103,0.11421,1.40047,2.70359,2.65308,1.17596,0,9.9125e-05,9.9125e-05,9.9125e-05
95,203.291,0.78135,1.34733,1.17397,0.88193,0,0.89514,0.12745,0.2325,0.12141,0.89514,0.12745,0.22367,0.10803,1.41456,2.6943,2.67514,1.18431,0,8.675e-05,8.675e-05,8.675e-05
96,205.185,0.75939,1.2361,1.14752,0.91206,0,0.90205,0.12745,0.22791,0.11987,0.90205,0.12745,0.22075,0.12619,1.44002,2.69854,2.7172,1.18738,0,7.4375e-05,7.4375e-05,7.4375e-05
97,206.702,0.83634,1.3537,1.18714,0.89086,0,0.90205,0.12745,0.22791,0.11987,0.90205,0.12745,0.22075,0.12619,1.44002,2.69854,2.7172,1.18738,0,6.2e-05,6.2e-05,6.2e-05
98,208.425,0.89877,1.31466,1.35808,0.90932,0,0.9102,0.12745,0.23224,0.12118,0.9102,0.12745,0.22369,0.11855,1.44808,2.73559,2.68514,1.19241,0,4.9625e-05,4.9625e-05,4.9625e-05
99,209.859,0.71496,1.11841,1.10487,0.8814,0,0.92294,0.12745,0.23662,0.12302,0.92294,0.12745,0.22726,0.12075,1.44535,2.69976,2.64774,1.1928,0,3.725e-05,3.725e-05,3.725e-05
100,211.516,0.80053,1.23409,1.13717,0.89933,0,0.92629,0.12745,0.23932,0.1246,0.92629,0.12745,0.2295,0.12279,1.44374,2.79052,2.6234,1.19343,0,2.4875e-05,2.4875e-05,2.4875e-05
